# participants version:{'Mass-Left': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}, 'Mass-Right': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}}
# participants:{'Mass-Left': <prepesthel.participant.Participant object at 0x7f4deee9ac90>, 'Mass-Right': <prepesthel.participant.Participant object at 0x7f4dedd9d400>}
# run cmd:python3 doConvergenceStudy.py precice-config-FP.xml.jinja2 --silent --executor Github --config configs/fig10_dts.csv -tss runge_kutta_4 generalized_alpha -wd 1 -o results/Fig10/data/linear.csv
# args:Namespace(template_path='precice-config-FP.xml.jinja2', config='configs/fig10_dts.csv', silent=True, executor='Github', max_time=1.0, base_time_window_size=0.04, time_window_refinements=5, base_time_step_refinement=[1, 1], time_step_refinements=1, time_step_refinement_factor=[2, 2], time_stepping_scheme=['runge_kutta_4', 'generalized_alpha'], waveform_degree=1, exchange_substeps=False, out_filename='results/Fig10/data/linear.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.3.1
# precice_config_params:{'time_window_size': 0.0125, 'max_time': 1.0, 'waveform_degree': 1, 'substeps': False}
time window size,time step size Mass-Left,time step size Mass-Right,error Mass-Left,error Mass-Right
0.2,0.04000000000000001,0.0020000000000000018,3.3437602237727053,1.7357639088739552
0.1,0.020000000000000007,0.0010000000000000009,0.5338006703088117,0.4833555656170415
0.05,0.010000000000000004,0.0004999999999999726,0.1508046698838736,0.155182751074555
0.025,0.0050000000000000044,0.0002499999999999794,0.0385803719522251,0.0408077321687374
0.0125,0.002499999999999974,0.0001250000000000157,0.0097026474374872,0.0103262290940643
