# participants version:{'Mass-Left': {'url': 'BenjaminRodenberg/test-cases-dissertation', 'repo': 'refs/pull/8/merge', 'chash': '3202eb513f485596bf76ab992ea7ac77fea1d47d'}, 'Mass-Right': {'url': 'BenjaminRodenberg/test-cases-dissertation', 'repo': 'refs/pull/8/merge', 'chash': '3202eb513f485596bf76ab992ea7ac77fea1d47d'}}
# participants:{'Mass-Left': <prepesthel.participant.Participant object at 0x7f326a8e7ec0>, 'Mass-Right': <prepesthel.participant.Participant object at 0x7f326a8e7fe0>}
# run cmd:python3 doConvergenceStudy.py precice-config-FP.xml.jinja2 --silent --executor Github --config configs/fig10_dts.csv -tss runge_kutta_4 generalized_alpha -wd 1 --exchange-substeps -o results/Fig10/data/piecewise_linear.csv
# args:Namespace(template_path='precice-config-FP.xml.jinja2', config='configs/fig10_dts.csv', silent=True, executor='Github', max_time=1.0, base_time_window_size=0.04, time_window_refinements=5, base_time_step_refinement=[1, 1], time_step_refinements=1, time_step_refinement_factor=[2, 2], time_stepping_scheme=['runge_kutta_4', 'generalized_alpha'], waveform_degree=1, exchange_substeps=True, out_filename='results/Fig10/data/piecewise_linear.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.2.1
# precice_config_params:{'time_window_size': 0.0125, 'max_time': 1.0, 'waveform_degree': 1, 'substeps': True}
time window size,time step size Mass-Left,time step size Mass-Right,error Mass-Left,error Mass-Right
0.2,0.04000000000000001,0.0020000000000000018,0.050868037767638,0.0509483467981368
0.1,0.020000000000000007,0.0010000000000000009,0.0125680395524709,0.0121802269844953
0.05,0.010000000000000004,0.0004999999999999726,0.0031251194477872,0.0030022001419111
0.025,0.0050000000000000044,0.0002499999999999794,0.0007816140466204,0.0007477494337397
0.0125,0.002499999999999974,0.0001250000000000157,0.0001952755704186,0.000186759887241
