time window size,time step size Fluid,time step size Solid,max time,waveform degree,reduced,substeps,id
0.02,0.02,0.02,5,1,true,false,ref
0.1,0.02,0.02,5,1,true,false,SC_S5
0.1,0.02,0.02,5,3,true,true,MC_S5_rQNWI
1,0.02,0.02,5,1,true,false,SC_S50
1,0.02,0.02,5,3,true,true,MC_S50_rQNWI
5,0.02,0.02,5,1,true,false,SC_S250
5,0.02,0.02,5,3,true,true,MC_S250_rQNWI
