# participants version:{'Monolithic': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/heads/precice-v-3-3-0', 'chash': 'c3cc35f5d22daa4e9ec94405e27d856b2aa15bd5'}}
# participants:{'Monolithic': <prepesthel.participant.Participant object at 0x7fba870e1490>}
# run cmd:python3 doConvergenceStudyMonolithic.py --silent --executor Github --experiment sincos -s 6 -dt 0.2 -tss LobattoIIIC3 -o results/Fig13extra/data/LIIIC3_mono.csv
# args:Namespace(silent=True, executor='Github', max_time=1.0, base_time_step_size=0.2, time_step_refinements=6, time_step_refinement_factor=[2], experiment='sincos', time_stepping_scheme=['LobattoIIIC3'], out_filename='results/Fig13extra/data/LIIIC3_mono.csv')
time step size Monolithic,error Monolithic
0.2,1.5716179592100165e-06
0.1,1.340447393427532e-07
0.05,1.0505622626825962e-08
0.025,7.526827558027851e-10
0.0125,5.175953348067664e-11
0.00625,3.5165494657109807e-12
