# participants version:{'Dirichlet': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}, 'Neumann': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}}
# participants:{'Dirichlet': <prepesthel.participant.Participant object at 0x7fbc641979e0>, 'Neumann': <prepesthel.participant.Participant object at 0x7fbc64196ea0>}
# run cmd:python3 doConvergenceStudy.py precice-config.xml.jinja2 --silent --executor Github --experiment sincos -w 6 -s 1 -wd 3 -sb 5 5 -dt 1 -tss GaussLegendre2 GaussLegendre2 --exchange-substeps -o results/Fig13/data/GL2_3.csv
# args:Namespace(template_path='precice-config.xml.jinja2', silent=True, executor='Github', max_time=1.0, base_time_window_size=1.0, time_window_refinements=6, base_time_step_refinement=[5, 5], time_step_refinements=1, time_step_refinement_factor=[2, 2], experiment='sincos', time_stepping_scheme=['GaussLegendre2', 'GaussLegendre2'], waveform_degree=3, exchange_substeps=True, out_filename='results/Fig13/data/GL2_3.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.3.1
# precice_config_params:{'time_window_size': 0.03125, 'max_time': 1.0, 'waveform_degree': 3, 'substeps': True}
time window size,time step size Dirichlet,time step size Neumann,substeps Dirichlet,avg(iterations / window),max(iterations / window),error Dirichlet,substeps Neumann,error Neumann
1.0,0.2,0.2,5,18.0,18,1.2878486866900426e-06,5,8.780353110171512e-07
0.5,0.1,0.1,5,18.5,19,4.845074600973817e-07,5,2.0495728859369695e-07
0.25,0.05,0.05,5,17.75,18,6.665572479464968e-08,5,3.397694295022854e-08
0.125,0.025,0.025,5,20.125,21,6.993107026992392e-09,5,4.553572737271101e-09
0.0625,0.0125,0.0125,5,15.875,18,6.507419612832766e-10,5,4.6202877971304924e-10
0.03125,0.00625,0.00625,5,15.5625,23,4.857968158421472e-11,5,3.661615184725275e-11
