# assembled from specific results from this folder.
time window size,time step size Mass-Left,time step size Mass-Right,error Mass-Left,error Mass-Right
0.1,0.025000000000000012,0.003125000000000018,0.0012254505376257,0.0012319544228865
0.05,0.01249999999999998,0.0007812499999999816,7.717328726419836e-05,7.531636460272884e-05
0.025,0.006249999999999985,0.0001953125000000183,4.825699073562895e-06,4.642296072492058e-06
0.0125,0.003125000000000018,4.882812499998171e-05,3.0004754042467496e-07,2.861505649653928e-07
0.00625,0.0015625000000000153,1.2207031250018285e-05,1.3738299275978251e-08,1.6357887655527037e-08
