# participants version:{'Mass-Left': {'url': 'BenjaminRodenberg/test-cases-dissertation', 'repo': 'refs/pull/8/merge', 'chash': '3202eb513f485596bf76ab992ea7ac77fea1d47d'}, 'Mass-Right': {'url': 'BenjaminRodenberg/test-cases-dissertation', 'repo': 'refs/pull/8/merge', 'chash': '3202eb513f485596bf76ab992ea7ac77fea1d47d'}}
# participants:{'Mass-Left': <prepesthel.participant.Participant object at 0x7f6bb92c6c90>, 'Mass-Right': <prepesthel.participant.Participant object at 0x7f6bc359ad50>}
# run cmd:python3 doConvergenceStudy.py precice-config-FP.xml.jinja2 --silent --executor Github --config configs/fig11_dts.csv -tss runge_kutta_4 generalized_alpha -wd 3 --exchange-substeps -o results/Fig11/data/contour_data.csv
# args:Namespace(template_path='precice-config-FP.xml.jinja2', config='configs/fig11_dts.csv', silent=True, executor='Github', max_time=1.0, base_time_window_size=0.04, time_window_refinements=5, base_time_step_refinement=[1, 1], time_step_refinements=1, time_step_refinement_factor=[2, 2], time_stepping_scheme=['runge_kutta_4', 'generalized_alpha'], waveform_degree=3, exchange_substeps=True, out_filename='results/Fig11/data/contour_data.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.2.1
# precice_config_params:{'time_window_size': 0.00125, 'max_time': 1.0, 'waveform_degree': 3, 'substeps': True}
time window size,time step size Mass-Left,time step size Mass-Right,error Mass-Left,error Mass-Right
0.2,0.05,0.05,0.1922588167763372,0.1604466389881712
0.2,0.05,0.025000000000000012,0.0518239000142373,0.0503592533997229
0.2,0.05,0.01249999999999998,0.0191700512887591,0.0198167192459586
0.2,0.05,0.006249999999999985,0.0119804547768459,0.0120691382056088
0.2,0.05,0.003125000000000018,0.0102962020453689,0.0101215440578872
0.2,0.05,0.0015625000000000153,0.0102248055792319,0.0096664864728392
0.2,0.05,0.0007812499999999816,0.0102066696159605,0.0095894004817313
0.2,0.05,0.00039062499999998435,0.0102020981392153,0.0095702023405062
0.2,0.05,0.00019531250000001823,0.0102009504400836,0.0095654228541678
0.2,0.05,9.765625000001566e-05,0.0102006632107723,0.0095642239810271
0.1,0.025000000000000012,0.025000000000000012,0.0497638170744235,0.041678794531597
0.1,0.025000000000000012,0.01249999999999998,0.0127623116702884,0.0112081102557645
0.1,0.025000000000000012,0.006249999999999985,0.0035119338821859,0.0032336920441489
0.1,0.025000000000000012,0.003125000000000018,0.0012254505376257,0.0012319544228865
0.1,0.025000000000000012,0.0015625000000000153,0.000681621087166,0.0007318639524431
0.1,0.025000000000000012,0.0007812499999999816,0.0006167773320079,0.0006069534711392
0.1,0.025000000000000012,0.00039062499999998435,0.0006047250659964,0.0005757518774333
0.1,0.025000000000000012,0.0001953125000000183,0.0006017086894217,0.0005679556865914
0.1,0.025000000000000012,9.765625000001566e-05,0.0006009544822906,0.0005660068710646
0.1,0.025000000000000012,4.882812499998171e-05,0.0006007646418455,0.0005655173019257
0.0769230769230769,0.01923076923076925,0.01923076923076925,0.0298062372741129,0.0250927973688731
0.0769230769230769,0.01923076923076925,0.009615384615384602,0.0075754761776388,0.0064959313533831
0.0769230769230769,0.01923076923076925,0.004807692307692296,0.001985268990979,0.0017728789505072
0.0769230769230769,0.01923076923076925,0.002403846153846147,0.0006167462352306,0.0005874410867248
0.0769230769230769,0.01923076923076925,0.0012019230769231006,0.0002772837181083,0.0002915967149995
0.0769230769230769,0.01923076923076925,0.0006009615384615571,0.0002111092077395,0.0002180837325373
0.0769230769230769,0.01923076923076925,0.0003004807692307525,0.0002026882376469,0.0001998009780704
0.0769230769230769,0.01923076923076925,0.00015024038461539753,0.0002012380459957,0.0001952394938642
0.0769230769230769,0.01923076923076925,7.512019230770405e-05,0.0002008879243257,0.000194100555242
0.0769230769230769,0.01923076923076925,3.756009615385336e-05,0.0002007991792761,0.0001938133154303
0.0625,0.015625,0.015625,0.0197625441571365,0.0166665290662301
0.0625,0.015625,0.0078125,0.004996833170999,0.0042553683790228
0.0625,0.015625,0.00390625,0.0012923715650334,0.001127606205593
0.0625,0.015625,0.001953125,0.0003724282365313,0.0003439681462183
0.0625,0.015625,0.0009765625,0.0001455269671204,0.0001485331896391
0.0625,0.015625,0.00048828125,9.290295515707037e-05,0.0001001686897507
0.0625,0.015625,0.000244140625,8.795338529662966e-05,8.822000220838665e-05
0.0625,0.015625,0.0001220703125,8.677369817705616e-05,8.524853518807399e-05
0.0625,0.015625,6.103515625e-05,8.647900589200952e-05,8.450749011314207e-05
0.0625,0.015625,3.0517578125e-05,8.640656761663146e-05,8.432496561022393e-05
0.05,0.01249999999999998,0.01249999999999998,0.0126573529722769,0.0106881921667325
0.05,0.01249999999999998,0.006249999999999985,0.003189577401567,0.0027082903960464
0.05,0.01249999999999998,0.003125000000000018,0.0008172349897246,0.0007024825074165
0.05,0.01249999999999998,0.0015625000000000153,0.0002240680877488,0.0002005205663188
0.05,0.01249999999999998,0.0007812499999999816,7.717328726419836e-05,7.531636460272884e-05
0.05,0.01249999999999998,0.00039062499999998435,4.159062357933507e-05,4.439659711393679e-05
0.05,0.01249999999999998,0.0001953125000000183,3.577299032192505e-05,3.6810133847958726e-05
0.05,0.01249999999999998,9.765625000001566e-05,3.490127291622125e-05,3.4932475800400486e-05
0.05,0.01249999999999998,4.882812499998171e-05,3.471125581203105e-05,3.446198897937014e-05
0.05,0.01249999999999998,2.4414062499984324e-05,3.466188869855058e-05,3.434052988972314e-05
0.04,0.010000000000000009,0.010000000000000009,0.0081135698377065,0.0068359430430766
0.04,0.010000000000000009,0.0050000000000000044,0.0020382506717054,0.0017262883747715
0.04,0.010000000000000009,0.002499999999999974,0.0005174861383162,0.0004418513747878
0.04,0.010000000000000009,0.0012499999999999803,0.0001373213367757,0.0001204474497987
0.04,0.010000000000000009,0.0006249999999999885,4.284988522551547e-05,4.0232248852425934e-05
0.04,0.010000000000000009,0.00031250000000002153,1.9691266733068424e-05,2.040700718066498e-05
0.04,0.010000000000000009,0.0001562499999999898,1.4760417162223982e-05,1.5568647819090564e-05
0.04,0.010000000000000009,7.812500000001743e-05,1.4214604249621066e-05,1.4381197375040731e-05
0.04,0.010000000000000009,3.90624999999866e-05,1.4080738501898171e-05,1.408392892192356e-05
0.04,0.010000000000000009,1.9531249999987766e-05,1.4045209977900376e-05,1.4005493304561356e-05
0.03125,0.0078125,0.0078125,0.0049456836613052,0.0041802636835766
0.03125,0.0078125,0.00390625,0.0012396281343016,0.0010506785567174
0.03125,0.0078125,0.001953125,0.0003127477862397,0.0002665566617998
0.03125,0.0078125,0.0009765625,8.130434377368045e-05,7.02912691577795e-05
